City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Juba,SS,2021-06-07 01:59:37,4.8517,31.5825,294.41,92,66,2.16
256,Llanes,ES,2021-06-07 01:59:37,43.4198,-4.7549,287.19,86,47,1.75
257,Pacific Grove,US,2021-06-07 01:51:59,36.6177,-121.9166,295.92,71,20,1.79
258,Karaton,ID,2021-06-07 01:59:37,-6.3424,106.1045,303.13,76,51,1.21
259,Melito Di Porto Salvo,IT,2021-06-07 01:59:38,37.9222,15.7714,295.78,64,75,3.86
260,Skibbereen,IE,2021-06-07 01:59:38,51.55,-9.2667,282.04,88,93,3.09
261,Fort-Shevchenko,KZ,2021-06-07 01:59:38,44.5086,50.263,294.55,74,96,3.78
262,Karratha,AU,2021-06-07 01:59:38,-20.7377,116.8463,300.14,36,26,8.11
263,Emerald,AU,2021-06-07 01:52:21,-23.5333,148.1667,295.01,32,0,2.57
264,South Lake Tahoe,US,2021-06-07 01:55:09,38.9332,-119.9844,297.44,42,72,4.47
265,Bengkulu,ID,2021-06-07 01:52:25,-3.8004,102.2655,299.93,76,28,0.77
266,Suluktu,KG,2021-06-07 01:59:39,39.9337,69.57,296.86,25,64,2.37
267,Torbat-E Jam,IR,2021-06-07 01:59:39,35.244,60.6225,299.09,35,0,1.04
268,Jiangyou,CN,2021-06-07 01:59:39,31.7667,104.7167,300.15,50,100,1.0
269,Padampur,IN,2021-06-07 01:59:39,29.6833,73.6167,309.21,28,0,5.15
270,Hay River,CA,2021-06-07 01:55:34,60.8156,-115.7999,282.14,61,75,2.57
271,Vezirkopru,TR,2021-06-07 01:59:40,41.1436,35.4547,283.42,87,7,0.81
272,Cartagena Del Chaira,CO,2021-06-07 01:59:40,1.3349,-74.8429,295.45,98,100,0.49
273,Revda,RU,2021-06-07 01:59:40,56.801,59.9303,287.6,60,51,2.23
274,Grand Falls,CA,2021-06-07 01:59:40,47.0461,-67.7418,293.68,93,17,2.41
275,Sicuani,PE,2021-06-07 01:59:41,-14.2694,-71.2261,278.87,82,13,1.6
276,Pangai,TO,2021-06-07 01:59:41,-19.8,-174.35,301.21,61,75,3.6
277,Ferrol,ES,2021-06-07 01:59:41,43.4832,-8.2369,287.74,83,12,3.3
278,Kampong Thum,KH,2021-06-07 01:59:41,12.7111,104.8887,303.05,69,100,0.68
279,San Cristobal,VE,2021-06-07 01:51:21,7.7669,-72.225,294.25,99,100,0.58
280,Ponta Delgada,PT,2021-06-07 01:56:14,37.7333,-25.6667,290.55,82,20,1.54
281,Nemuro,JP,2021-06-07 01:55:49,43.3236,145.575,293.39,83,39,1.43
282,Torbay,CA,2021-06-07 01:51:39,47.6666,-52.7314,277.36,93,90,4.12
283,Khasan,RU,2021-06-07 01:59:42,42.4308,130.6434,289.7,74,25,3.0
284,Lafia,NG,2021-06-07 01:59:42,8.4833,8.5167,297.27,90,89,1.65
285,Oranjemund,NA,2021-06-07 01:57:09,-28.55,16.4333,291.88,34,0,9.2
286,Pytalovo,RU,2021-06-07 01:59:42,57.0679,27.9138,286.45,87,83,2.69
287,Mae Hong Son,TH,2021-06-07 01:59:43,19.3003,97.9685,299.23,94,40,0.0
288,Kokopo,PG,2021-06-07 01:52:04,-4.352,152.2633,301.94,71,18,1.57
289,Ahipara,NZ,2021-06-07 01:52:06,-35.1667,173.1667,289.39,89,97,4.68
290,Rio Gallegos,AR,2021-06-07 01:51:38,-51.6226,-69.2181,278.18,70,40,4.12
291,Ruteng,ID,2021-06-07 01:59:43,-8.6136,120.4721,294.59,78,66,0.65
292,Soyo,AO,2021-06-07 01:59:43,-6.1349,12.3689,296.84,91,13,2.89
